,time,username,fullname,tweet,retweets
131,May 15,@IainLJBrown,Sky News,"Vittorio Colao is stepping down after a decade at the helm of Vodafone, one of the largest telecommunications groups in the world. The 56-year-old's decision sent Vodafone's share price down 4% https://on.ft.com/2jVKXI5 ",1
132,May 15,@FT,Financial Times,"Vodafone India posts Rs 9,805 cr operating profit for 2017-18
http://dnai.in/fqsW ",7
133,May 15,@SkyNews,DNA,Vodafone's CEO announces his departure less than a week after making $22 billion deal with 'cable cowboy' John Malone https://read.bi/2Kl85Lh ,
134,May 15,@MRLTanzania,Business Insider,Vodafone boss Vittorio Colao steps down after 10 years in charge,11
135,May 14,@SkyNews,The Telegraph,Vodafone chief executive Vittorio Colao to stand down ,
136,May 14,@FinancialTimes,Financial Times,Vittorio Colao will unexpectedly step down after a decade as Vodafone CEO https://bloom.bg/2L0d7Og ,
137,May 14,@dna,Bloomberg,"JUST IN: Vodafone is to have a new CEO, with Nick Read succeeding Vittorio Colao https://bloom.bg/2rKvoX9 ",
138,May 14,@businessinsider,Bloomberg,"Here’s the TicToc on markets: 

-Billionaire Beny Steinmetz is digging for diamonds again https://bloom.bg/2rN6VAL 
-A Mideast oil giant prepares for a post-petro world https://bloom.bg/2KYkZ2U 
-Vodafone to buy Liberty Global’s Europe units https://bloom.bg/2KZseaX ",
139,May 11,@Telegraph,TicToc by Bloomberg,Vodafone's cable buy shakes up European landscape ,1
140,May 10,@FinancialTimes,Sky News,"DoT to clear mergers of Airtel-Telenor, Vodafone-Idea: Aruna Sundararajan
http://mybs.in/2VmqOgE ",7
141,May 9,@business,Business Standard,Vodafone strikes €18bn deal for Liberty Global's cable and broadband assets ,
142,May 9,@business,Guardian news,"British companies Rolls-Royce, BP and Vodafone could be forced to exit Iran 'immediately' ",20
143,May 9,@tictoc,Daily Mail U.K.,Vodafone’s TV deal shows price can be right for more than the buyer ,
144,May 9,@SkyNews,Financial Times,Analysis: Vodafone burnishes credentials as European telecoms champion. Plus potted history on Germany’s role in Vodafone’s transformation https://www.ft.com/content/566f21d4-5375-11e8-b3ee-41e0209208ec … via @financialtimes,
145,May 9,@bsindia,CyNic Fildes,"$MSPC Big Deal
Vodafone snaps up Liberty Global's European operations for €18bn ",
146,May 9,@guardiannews,"Jonny_Red #MAGA  
💯",Vodafone declares war on Germany's telecoms monopoly with €18.4bn Liberty deal,
147,May 9,@DailyMailUK,The Telegraph,Vodafone to buy Liberty assets in four European countries for nearly $23B ,3
148,May 9,@FT,FOX Business,Vodafone to pay $21.8 billion for Liberty assets to strengthen European presence https://reut.rs/2KNsda7  by @paulsandle @kholtonreuters $VOD $LBTYA,17
149,May 9,@NicFildes,Reuters Top News,Vodafone has agreed to buy Liberty Global's operations in four European countries in a deal worth €18.4bn ,
150,May 9,@jonny_red32,Sky News,"British companies Rolls-Royce, BP and Vodafone could be forced to exit Iran 'immediately' ",30
151,May 9,@Telegraph,Daily Mail U.K.,#UPDATE British telecoms giant Vodafone announces an 18.4-billion-euro deal to buy parts of Liberty Global's operations that will make it Europe's largest cable and broadband operator ,
152,May 9,@FoxBusiness,AFP news agency,An American media mogul is selling a big chunk of his cable and broadband empire to UK telecoms operator Vodafone for around $13 billion. ,
153,May 9,@Reuters,CNN,"Vodafone to pay $21.8 billion to buy Liberty Global’s assets in Germany, the Czech Republic, Hungary and Romania to take on rivals https://reut.rs/2KNrXb9  by @paulsandle @kholtonreuters $VOD $LBTYA",
154,May 9,@SkyNews,Reuters Top News,Billionaire 'cable cowboy' John Malone's Liberty Global is selling $22 billion of European assets to Vodafone https://read.bi/2K79qFc ,
155,May 9,@DailyMailUK,Business Insider,Vodafone strikes €18.4bn takeover of Liberty Global assets ,1
156,May 9,@AFP,Financial Times,Vodafone agrees 18.4 billion euro deal to buy some Liberty assets ,15
157,May 8,@CNN,Reuters Business,Vodafone seals $23 billion deal to buy Liberty Global assets: WSJ ,
158,May 8,@Reuters,Reuters Business,"Vodafone has agreed to buy German and Eastern European units from Liberty Global.

The €19 billion deal shakes up the TV and broadband market  
https://bloom.bg/2KLpZYN ",65
159,May 8,@businessinsider,Bloomberg,"Liberty Global to Sell German, Eastern European Units to Vodafone for $22.7B http://thr.cm/1pgr9W ",
160,May 8,@FinancialTimes,Hollywood Reporter,Vodafone to buy some of Liberty Global’s European assets for $23 billion ,
